,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #3085,Pink,Spray Can,Swinging,,,Long Sleeves,Light Blue Loose Shirt,Tan Pants,Summer Day Sneakers,Bing Bong Stick,Yellow Chest Bag,,,,,,,,,
0,Invisible Friends #3086,Blue,Swinging,Rainbow Paint Bucket,White Glasses,White Baseball Cap,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Green Shorts,Maroon Shoes,,,,,,,,,Earphones,,
0,Invisible Friends #3087,Pink,Squirt Gun,Cat,Black Glasses,Dark Blue Beanie,Long Sleeves,Green Turtleneck,Pink Shorts,Blue Shoes,Pipe,,,,,,,,,,
0,Invisible Friends #3088,Orange,Swinging,Swinging,Nose Glasses with Black Hair,,Long Sleeves,Blue Turtleneck,White Skirt,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #3089,Blue,Baseball Bat,Book,Sunglasses,Turquoise 5 Panel Cap,Long Sleeves,Naked,Naked,Maroon Shoes,,,,Grey Belted Coat,,,,,,,
0,Invisible Friends #3090,Green,Skull,Cat,Brown Glasses,Blue 5 Panel Cap,Long Sleeves,Grey Zipper Hoodie with Hood Down,Charcoal Pants,Red Shoes,,,,,,,,,,,
0,Invisible Friends #3091,Blue,Swinging,Book,White Nerd Glasses,Cream Beanie,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Lavender Pants,Summer Day Sneakers,,,,Pink Morning Robe,,,,,,,
0,Invisible Friends #3092,Orange,Swinging,Swinging,,White Headband,Long Sleeves,Black Turtleneck,Lavender Pants,Red Shoes,,,,,,,,White Suspenders,,,
0,Invisible Friends #3093,Orange,Umbrella,Pocket,Nose Glasses with Black Hair,Visor,Long Sleeves,Pink Zipper Hoodie with Hood Down,Tan Shorts,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #3094,Blue,Skull,Cat,,,Long Sleeves,Naked,Pink Shorts,Bunny Slippers,,,,Black Death Robe,,,,,,,
0,Invisible Friends #3095,Blue,Umbrella,Laptop,Thief Mask,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Tracksuit Pants,Summer Night Sneakers,Cigar,,,,,,Scarf Bandana,,,,
0,Invisible Friends #3096,Blue,Stick Bag,Tennis Racket,White Glasses,Blue Bucket Hat,Short Sleeves,White Loose Shirt with Pens,Pink Shorts,Summer Day Sneakers,Toothpick,,,,,,,,Pencil,,
0,Invisible Friends #3097,Yellow,Scientist,Swinging,Eye Patch,,Long Sleeves,Cream Turtleneck,Tan Pants,Dark Blue Slippers,,,,,,,,White Suspenders,,,
0,Invisible Friends #3098,Green,Shovel,Swinging,White Glasses,Blue Bucket Hat,Long Sleeves,Naked,Naked,Ice Grey Sneakers,Bandana,,,Grey Belted Coat,,,,,,,
0,Invisible Friends #3099,Blue,Boxing Glove,Swinging,Black Glasses,Tan Bucket Hat,Long Sleeves,Blue Sweatshirt,White Tracksuit Pants,Dark Blue Slippers,Cigar,,,,,,,,,,
0,Invisible Friends #3100,Blue,Umbrella,Laptop,,Yellow / Blue Pointy Beanie,Long Sleeves,Blue / Green / Pink Puffer Vest,Tan Pants,Bleached Sand Sneakers,,Grey Backpack,,,,,,,,,
0,Invisible Friends #3101,Green,Swinging,Swinging,Brown Glasses,,Long Sleeves,Yellow Turtleneck,Dark Blue Pants,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #3102,Blue,Axe,Swinging,White Glasses,,Long Sleeves,Light Blue / Pink Tucked Shirt with Pens,Green Pants,Green Shoes,,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #3103,Orange,Swinging,Swinging,Nerd Ghost Glasses,Pink Pointy Beanie,Long Sleeves,Green / White V-Neck Sweater and Shirt,Blue Pants,Pink Slippers,Toothpick,,,,,Black Fannypack,,,Pencil,,
0,Invisible Friends #3104,Yellow,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Pink Zipper Hoodie with Hood Down,Blue Tracksuit Pants,Red Shoes,Toothpick,Tote,,,,,,,,,
0,Invisible Friends #3105,Blue,Duffel Bag,Swinging,Black Glasses,Blue Bucket Hat,Long Sleeves,Blue Turtleneck,Blue Sweatpants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #3106,Blue,Baseball Bat,Swinging,Black Nerd Glasses,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Tan Pants,Cream Slippers,,,,,,,,,,,
0,Invisible Friends #3107,Blue,Bomb,Swinging,Sunglasses,,Long Sleeves,Grey Sweatshirt,Blue Pants,Ice Grey Sneakers,Straw,,,,,,,,,,
0,Invisible Friends #3108,Green,Swinging,Cat,Black Nerd Glasses,,Short Sleeves,Dark Blue / White Sweater Vest and Shirt,Tan Pants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #3109,Yellow,Swinging,Basketball,,,Long Sleeves,Pink Tucked Shirt,Red Sweatpants,White Shoes,,Tote,,Green Cape,Gum,,,,,,
0,Invisible Friends #3110,Blue,Swinging,Metal Detector,,Dark Blue Beanie,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Dark Blue Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #3111,Blue,Scientist,Pocket,White Glasses,White / Red Backwards Cap,Long Sleeves,Blue / Yellow Tracksuit Jacket,Dark Blue Pants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #3112,Yellow,Swinging,Swinging,Brown Glasses,Turquoise 5 Panel Cap,Short Sleeves,Blue Loose Shirt,Grey Tracksuit Pants,Bleached Sand Sneakers,,Duffel Bag,,,,,,,,,
0,Invisible Friends #3113,Blue,Juice,Swinging,White Nerd Glasses,,Long Sleeves,Blue / White Sweater and Shirt,Lavender Pants,Forest Moss Sneakers,Bandana,,,,,,,,,,Not Financial Advice Book
